,Целевая.Цена,Спальни,Ванные,Жилая площадь,Общая площадь,Количество этажей,Вид на воду,Просмотрены ранее,Состояние,Оценка риелтора,Площадь без подвала,Площадь подвала,Год постройки,Год реновации,Широта,Долгота
0,260000,3,1,1300,10139,1,0,0,3,7,1300,0,1962,2007,"47,3427","-122,087"
1,734500,4,"2,75",3280,6845,2,0,0,3,10,3280,0,2003,0,"47,7042","-122,107"
2,325000,1,1,1220,12426,1,0,4,4,6,1220,0,1946,0,"47,4047","-122,331"
3,1990000,3,"2,5",2880,13500,1,0,4,5,8,1520,1360,1950,0,"47,6281","-122,216"
4,315000,3,2,1300,3731,1,0,0,3,7,900,400,1993,0,"47,5374","-122,27"
5,959000,3,"2,5",2830,3750,3,0,0,3,10,2830,0,2014,0,"47,6799","-122,385"
6,1310000,5,"2,5",2770,8100,2,0,0,3,9,2770,0,2002,0,"47,6341","-122,208"
7,424240,3,2,2080,12094,2,0,0,4,8,2080,0,1982,0,"47,7035","-122,164"
8,290000,2,2,1590,9375,1,0,0,3,7,910,680,1983,0,"47,4585","-122,205"
9,406000,2,1,880,3000,1,0,0,3,6,880,0,1924,0,"47,6749","-122,323"
10,325000,2,2,1040,5796,1,0,2,4,6,1040,0,1921,0,"47,7362","-122,29"
11,600000,4,"2,5",2230,12753,1,0,0,4,7,1180,1050,1981,0,"47,6297","-122,033"
12,611000,2,1,1270,5100,1,0,0,3,7,1100,170,1900,0,"47,6771","-122,328"
13,424950,5,"3,5",2760,3846,"2,5",0,0,3,8,2760,0,2013,0,"47,5047","-122,17"
14,306500,3,"1,5",1100,8140,1,0,0,4,7,1100,0,1965,0,"47,5004","-122,162"
15,629000,4,"2,25",1900,11171,1,0,0,3,8,1280,620,1984,0,"47,561","-122,126"
16,225000,2,1,1030,9192,1,0,0,4,6,1030,0,1959,0,"47,4565","-122,181"
17,284000,3,"2,5",1660,4083,2,0,0,3,7,1660,0,2013,0,"47,3595","-122,045"
18,528000,3,"2,75",2160,4086,1,0,0,3,7,1380,780,1987,0,"47,5352","-122,38"
19,450000,3,"1,75",1400,13775,1,0,0,3,8,1400,0,1963,0,"47,7413","-122,259"
20,306000,3,1,1450,7200,1,0,0,3,7,1010,440,1969,0,"47,7311","-122,199"
21,256000,4,"2,5",2050,5787,2,0,0,3,7,2050,0,2002,0,"47,3527","-122,315"
22,925000,3,"2,75",3640,10300,1,0,0,4,9,2060,1580,1979,0,"47,5612","-122,146"
23,490000,4,"2,25",3390,39356,1,0,0,4,8,1640,1750,1964,0,"47,461","-121,992"
24,300000,3,1,1260,5000,1,0,0,4,6,1260,0,1968,0,"47,6492","-121,915"
25,402000,2,1,710,5100,1,0,0,5,7,710,0,1905,0,"47,6765","-122,381"
26,308000,3,"1,75",1630,11475,1,0,0,4,7,1330,300,1979,0,"47,4635","-121,746"
27,614306,2,"2,25",2210,5500,1,0,0,4,8,1410,800,1968,0,"47,697","-122,39"
28,2000000,5,4,4580,4443,3,1,4,3,10,4580,0,2004,0,"47,5682","-122,059"
29,250000,4,"1,5",2500,6300,1,0,0,4,7,1500,1000,1961,0,"47,3781","-122,284"
30,425000,3,"1,5",1970,13709,1,0,0,4,7,1680,290,1955,0,"47,7562","-122,277"
31,200000,4,1,1310,5200,"1,5",0,0,3,6,1160,150,1945,0,"47,5384","-122,37"
32,550000,2,"0,75",1040,4000,1,0,0,3,7,930,110,1909,0,"47,6489","-122,372"
33,380000,4,"2,25",2150,20181,1,0,0,3,7,1090,1060,1963,0,"47,7627","-122,245"
34,475000,3,"1,75",1850,26445,1,0,0,4,7,1850,0,1962,1977,"47,3412","-122,051"
35,408000,3,1,1380,7015,"1,5",0,0,4,7,1380,0,1925,0,"47,6987","-122,36"
36,214950,3,1,1400,6600,1,0,0,3,6,1280,120,1954,0,"47,4845","-122,331"
37,425000,4,3,2430,5502,2,0,0,3,8,2430,0,2002,0,"47,356","-122,014"
38,438400,2,1,1340,8100,1,0,0,4,7,1340,0,1953,0,"47,7218","-122,37"
39,810000,3,"2,5",2670,10481,2,0,0,3,9,2670,0,2003,0,"47,6673","-122,176"
40,655000,4,"2,25",2060,8470,1,0,0,3,8,1440,620,1983,0,"47,5605","-122,124"
41,725000,3,"2,5",1940,4000,"1,5",0,0,5,7,1940,0,1906,0,"47,6372","-122,352"
42,400000,2,1,920,5120,1,0,0,5,7,920,0,1952,0,"47,5569","-122,394"
43,815000,3,"2,5",3400,12442,2,0,0,3,9,3400,0,2001,0,"47,5611","-122,032"
44,585000,6,3,3870,43787,2,0,0,3,8,2700,1170,1976,0,"47,7642","-122,098"
45,216600,3,"1,75",2200,7700,1,0,0,3,7,1240,960,1975,0,"47,4119","-122,181"
46,685000,6,"2,25",2770,5854,"1,5",0,0,3,8,2120,650,1921,0,"47,6466","-122,304"
47,695000,3,"2,75",2540,4694,2,0,0,3,9,2540,0,2005,0,"47,6214","-122,024"
48,328000,5,"2,25",2240,9652,2,0,0,3,7,2240,0,1990,0,"47,4249","-122,211"
49,386500,4,"2,5",3110,5048,2,0,0,3,8,3110,0,2002,0,"47,3782","-122,125"
50,950000,4,3,2420,4800,"1,5",0,0,3,7,1520,900,1919,0,"47,6453","-122,358"
51,760000,4,"2,5",2430,6099,1,0,0,5,8,1470,960,1965,0,"47,6777","-122,287"
52,211000,4,2,1710,8288,"1,5",0,0,3,7,1710,0,1970,0,"47,3947","-122,174"
53,840000,5,"1,75",2500,11617,1,0,0,4,9,1560,940,1966,0,"47,5361","-122,217"
54,608095,3,"2,5",2680,17707,2,0,1,3,9,2680,0,1983,0,"47,7031","-122,224"
55,450000,3,"2,25",1660,10247,1,0,0,5,7,1130,530,1968,0,"47,7262","-122,222"
56,150000,3,1,1240,5200,1,0,0,3,6,1240,0,1969,0,"47,3701","-122,079"
57,450000,3,1,1060,4650,1,0,0,3,7,910,150,1950,0,"47,5784","-122,393"
58,725000,4,"1,75",1980,5850,1,0,1,4,8,1380,600,1960,0,"47,5607","-122,391"
59,265000,3,"2,5",1640,7668,2,0,0,3,7,1640,0,1991,0,"47,3505","-122,027"
60,320000,4,"2,5",2190,7125,2,0,0,5,8,2190,0,1978,0,"47,3709","-122,285"
61,248000,4,"3,5",1850,6519,2,0,0,3,7,1130,720,1986,0,"47,3087","-122,354"
62,510500,3,1,1270,8000,1,0,0,4,7,1270,0,1957,0,"47,5874","-122,136"
63,354900,3,1,1720,16552,1,0,0,4,7,1720,0,1971,0,"47,4772","-122,153"
64,325000,4,"2,5",2160,6825,2,0,0,3,8,2160,0,1994,0,"47,4111","-122,2"
65,335000,2,2,1350,2560,1,0,0,3,8,1350,0,1976,0,"47,6344","-122,107"
66,1090000,4,"2,75",3010,10830,2,0,3,4,9,3010,0,1980,0,"47,7005","-122,232"
67,218000,3,1,980,12812,1,0,0,3,7,980,0,1956,0,"47,4892","-122,306"
68,327000,4,"2,5",2110,3825,2,0,0,3,7,2110,0,2013,0,"47,359","-122,082"
69,375000,3,"1,75",1260,11224,1,0,0,5,7,1260,0,1947,0,"47,7444","-122,321"
70,280000,3,"1,75",1550,7410,"1,5",0,0,5,7,1550,0,1944,0,"47,4951","-122,237"
71,560000,3,"1,5",2790,6900,1,0,2,3,8,1700,1090,1955,0,"47,7328","-122,288"
72,170000,3,1,1480,5670,1,0,0,3,6,780,700,1944,0,"47,5175","-122,36"
73,303700,3,"2,5",1981,5700,2,0,0,3,8,1981,0,2010,0,"47,3668","-122,178"
74,717550,3,"3,5",2840,4468,3,0,0,3,10,2840,0,2006,0,"47,7069","-122,117"
75,661000,4,"2,25",1990,4600,"1,5",0,2,4,8,1420,570,1932,0,"47,5638","-122,38"
76,598800,6,4,4470,17877,3,0,3,3,9,3230,1240,2013,0,"47,4514","-122,273"
77,342500,2,"1,5",1320,826,2,0,0,3,8,1100,220,2008,0,"47,5879","-122,304"
78,495000,4,"2,75",2656,21195,2,0,0,3,9,2656,0,2014,0,"47,3162","-122,272"
79,199500,3,"1,75",1160,5200,1,0,0,4,7,1160,0,1977,0,"47,3643","-122,09"
80,195000,3,1,1310,9554,1,0,0,3,7,960,350,1962,0,"47,2949","-122,285"
81,550000,3,"2,5",1980,9061,2,0,0,4,8,1980,0,1987,0,"47,6366","-122,029"
82,525000,3,"2,5",1740,2350,2,0,0,3,8,1120,620,1996,0,"47,6206","-122,297"
83,630000,4,"1,75",1770,12278,1,0,0,3,7,1350,420,1937,0,"47,7004","-122,295"
84,589950,3,"2,75",1670,1350,3,0,0,3,9,1350,320,2014,0,"47,5763","-122,408"
85,428750,3,1,1620,30736,"1,5",0,0,4,7,1620,0,1911,1977,"47,5719","-122,119"
86,275000,4,"2,5",2150,3721,2,0,0,3,8,2150,0,2007,0,"47,3363","-122,215"
87,469950,4,"2,75",2720,6427,1,0,0,3,8,1650,1070,2008,0,"47,4931","-122,354"
88,306950,1,1,730,5005,1,0,0,4,5,730,0,1945,0,"47,6992","-122,364"
89,585000,4,"1,75",3000,42200,1,0,3,3,7,1500,1500,1950,0,"47,5265","-122,202"
90,2600000,3,3,3410,16015,2,1,4,4,10,2220,1190,1973,0,"47,5721","-122,239"
91,362300,3,"2,5",2430,15264,2,0,0,3,8,2430,0,1997,0,"47,3805","-122,208"
92,389500,3,"2,5",1350,874,3,0,0,3,8,1270,80,2006,0,"47,549","-122,387"
93,299000,4,"2,25",2050,26000,2,0,0,4,8,2050,0,1977,0,"47,3423","-122,063"
94,1100000,4,"3,75",2890,4164,2,0,0,3,9,2240,650,2013,0,"47,676","-122,197"
95,376000,3,2,1340,1384,3,0,0,3,8,1340,0,2008,0,"47,6973","-122,35"
96,430000,3,"1,75",1720,15225,1,0,0,4,7,1020,700,1970,0,"47,579","-122,051"
97,580135,4,"2,5",3150,5886,2,0,0,3,8,3150,0,2014,0,"47,4787","-122,122"
98,475000,3,1,1270,8000,1,0,0,4,6,1270,0,1959,0,"47,6175","-122,118"
99,530000,3,"3,5",1550,1233,2,0,0,3,8,1160,390,2005,0,"47,6034","-122,309"
100,680000,3,"2,25",2920,6300,1,0,0,3,8,1710,1210,1956,0,"47,7065","-122,37"
101,465000,4,"2,5",1930,9653,1,0,0,4,9,1930,0,1968,0,"47,3367","-122,335"
102,350000,3,2,1320,1298,3,0,0,3,7,1320,0,1995,0,"47,6959","-122,376"
103,485000,3,"2,5",2540,51836,1,0,0,4,8,1820,720,1976,0,"47,389","-122,088"
104,530000,3,"1,75",1520,9605,1,0,0,3,7,1520,0,1975,0,"47,667","-122,142"
105,235000,3,"1,5",1660,8738,1,0,0,4,7,1080,580,1959,0,"47,3117","-122,208"
106,309950,4,"2,5",1770,6666,2,0,0,3,7,1770,0,1989,0,"47,2877","-122,349"
107,345000,3,"1,75",1540,6909,1,0,0,4,7,920,620,1955,0,"47,7451","-122,313"
108,215000,3,2,1280,6994,1,0,0,3,7,1280,0,1991,0,"47,3889","-122,048"
109,815000,5,"2,25",3410,35536,2,0,0,3,10,2530,880,1974,0,"47,65","-122,155"
110,439990,4,"2,5",1540,1994,2,0,0,3,8,1540,0,2014,0,"47,5526","-121,999"
111,330000,3,"1,5",1690,10250,1,0,0,4,7,1690,0,1955,0,"47,4531","-122,344"
112,450000,2,"2,25",1040,1377,2,0,0,3,8,1040,0,2003,0,"47,6692","-122,279"
113,355000,4,"2,5",2150,3600,2,0,0,3,7,2150,0,2010,0,"47,3658","-122,019"
114,660000,2,1,960,6263,1,0,1,4,6,960,0,1942,0,"47,6646","-122,202"
115,440000,3,"2,5",2290,6302,2,0,0,3,9,2290,0,1997,0,"47,435","-122,107"
116,315000,2,1,790,6969,1,0,0,3,6,790,0,1955,1984,"47,6978","-122,164"
117,399950,4,"2,75",1920,4400,1,0,0,4,6,960,960,1906,0,"47,5532","-122,365"
118,770000,4,"1,75",2520,8442,1,0,0,4,7,1640,880,1953,0,"47,6317","-122,205"
119,537000,4,"2,5",1990,2660,2,0,0,3,8,1990,0,2012,0,"47,732","-122,178"
120,485000,3,"2,25",2440,47916,2,0,0,3,8,2090,350,1991,0,"47,6347","-121,958"
121,265000,3,2,1850,16535,1,0,0,3,7,1850,0,1992,0,"47,6565","-121,912"
122,1020000,4,"3,75",4690,207141,2,0,0,3,10,4030,660,2007,0,"47,7072","-121,983"
123,710000,3,"1,75",2430,11448,1,0,1,5,7,1620,810,1949,0,"47,6971","-122,391"
124,625000,4,"2,75",2920,6605,2,0,0,3,8,2920,0,2012,0,"47,4909","-122,144"
125,228950,3,1,1120,6625,1,0,0,3,6,1120,0,1942,0,"47,4879","-122,332"
126,530000,3,"3,5",2320,3174,2,0,0,3,9,2060,260,1997,0,"47,6897","-122,175"
127,299000,3,1,1550,8778,1,0,0,3,7,1250,300,1952,0,"47,5413","-122,281"
128,435000,2,1,1060,3036,"1,5",0,0,4,6,1060,0,1943,0,"47,6578","-122,324"
129,95000,2,1,960,7000,1,0,0,3,4,960,0,1918,0,"47,3864","-122,307"
130,374950,4,"2,75",2730,4683,2,0,0,3,7,2730,0,2005,0,"47,3608","-122,043"
131,808000,4,"2,25",2190,4104,2,0,0,5,8,1410,780,1928,0,"47,6419","-122,306"
132,425000,3,"2,25",1890,8400,1,0,0,3,8,1520,370,1977,0,"47,7103","-122,232"
133,370000,3,"2,25",2110,13300,2,0,0,4,8,2110,0,1985,0,"47,3725","-122,06"
134,1260000,3,3,3230,8625,2,0,3,3,10,2220,1010,1998,0,"47,562","-122,404"
135,269900,4,"1,75",1530,8750,"1,5",0,0,4,7,1530,0,1968,0,"47,4556","-122,157"
